Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.0,9.92,8.31,0.09,0.57,3.13,124,5230,234,4.01,0.36,0.68,4.56,blackgram
1.23,7.35,7.77,0.07,0.52,5.18,120,2505,408,4.39,0.84,0.6,2.1,blackgram
1.3,8.48,8.83,0.19,0.45,2.99,152,6332,1189,4.23,0.52,1.02,2.88,blackgram
1.44,8.81,8.58,0.19,0.42,5.53,135,6147,1004,8.02,0.58,0.96,3.4,blackgram
1.2,8.89,8.27,0.16,0.73,14.15,192,5940,1302,10.7,1.71,1.65,2.6,blackgram
1.46,10.45,7.89,0.18,0.67,20.08,276,6572,991,11.72,0.92,1.02,3.08,blackgram
1.52,7.33,8.34,0.16,0.46,4.58,181,6367,872,6.95,0.64,1.36,3.29,blackgram
0.98,11.68,8.27,0.14,0.23,3.16,139,6519,672,6.31,0.41,0.74,5.5,blackgram
0.8,7.91,8.21,0.11,0.34,4.17,92,7196,366,3.47,0.23,0.62,4.48,blackgram
0.84,7.96,8.87,0.21,0.37,2.14,113,4853,491,6.75,0.24,1.29,4.52,blackgram
0.81,8.2,8.05,0.07,0.23,0.99,79,7964,761,2.39,0.22,0.37,4.83,blackgram
0.82,7.71,8.12,0.12,0.23,3.88,91,8083,590,4.32,0.27,0.39,4.13,blackgram
0.94,13.27,8.22,0.11,0.5,2.53,137,6222,486,4.66,0.67,0.49,5.34,blackgram
0.96,7.59,8.43,0.12,0.27,3.22,94,7304,824,5.06,0.29,0.6,3.73,blackgram
1.39,6.5,8.33,0.11,0.32,2.04,118,9763,503,3.92,0.44,2.07,5.83,blackgram
1.1,7.9,8.41,0.15,0.41,5.21,128,6134,971,6.25,0.68,1.12,2.59,blackgram
1.64,7.68,8.54,0.13,0.39,5.1,160,3875,996,7.55,0.83,0.85,2.03,blackgram
1.0,7.37,8.48,0.16,0.3,2.9,179,5394,692,8.12,0.53,1.14,2.5,blackgram
1.15,7.69,8.6,0.31,0.33,4.17,158,4006,893,24.98,0.84,1.08,2.59,blackgram
1.47,7.04,8.03,0.16,0.35,1.62,110,5965,717,7.64,0.6,2.21,3.35,blackgram
1.23,10.98,8.32,0.13,0.32,1.11,96,4844,613,5.25,0.64,1.34,5.39,blackgram
1.05,7.28,8.14,0.16,0.34,1.98,106,6409,674,6.16,0.32,1.0,7.5,blackgram
0.84,6.73,8.45,0.12,0.22,0.66,62,5922,681,4.8,0.23,0.65,3.24,blackgram
0.92,7.09,8.35,0.11,0.29,1.89,109,5020,550,4.71,0.72,0.69,4.02,blackgram
0.89,7.46,8.4,0.13,0.25,2.98,122,6590,474,5.76,0.35,0.71,4.22,blackgram
1.21,6.76,8.6,0.18,0.33,2.83,87,4941,1234,11.99,0.4,0.71,2.04,blackgram
1.08,6.04,8.15,0.27,0.56,20.4,502,2713,543,8.99,0.62,0.89,1.83,blackgram
1.41,9.26,7.42,0.61,1.01,62.32,212,1960,617,54.23,5.67,1.3,3.85,blackgram
1.58,6.29,7.9,0.13,0.59,11.81,280,3106,908,6.08,0.48,0.68,4.3,blackgram
0.92,4.09,8.61,0.15,0.58,5.04,254,2572,693,4.2,0.24,1.49,1.77,blackgram
0.76,4.6,8.48,0.12,0.39,8.61,146,2653,331,3.25,0.34,0.83,1.8,blackgram
0.66,8.88,8.2,0.12,0.43,7.17,182,2444,484,3.5,0.46,0.72,2.13,blackgram
1.15,7.4,8.21,0.17,0.62,12.64,273,3047,739,4.58,0.34,1.03,2.07,blackgram
1.1,13.5,8.25,0.14,0.5,13.69,528,1238,302,3.14,0.73,1.27,3.65,blackgram
0.41,7.11,6.31,0.12,0.09,6.11,53,178,42,2.93,0.29,0.13,3.81,blackgram
1.12,17.15,7.17,0.08,0.21,22.82,272,470,273,1.98,0.61,0.63,7.01,blackgram
0.07,0.02,6.4,0.08,0.16,16.48,178,557,152,4.59,0.05,0.31,0.04,blackgram
1.29,7.57,6.95,0.07,0.24,7.09,196,885,249,1.89,0.36,0.56,4.12,blackgram
1.06,14.7,6.08,0.06,0.2,9.61,165,444,109,2.66,0.28,0.36,10.93,blackgram
1.34,9.47,7.35,0.11,0.25,25.51,513,800,246,5.82,0.57,0.74,4.95,blackgram
0.56,12.66,5.77,0.03,0.12,15.04,79,178,44,1.95,0.26,0.19,9.88,blackgram
0.85,10.06,6.77,0.12,0.11,6.24,138,353,105,2.63,0.23,0.35,4.71,blackgram
1.82,11.89,7.1,0.09,0.24,11.83,295,971,351,3.06,0.29,1.13,5.89,blackgram
0.77,7.26,9.02,0.34,0.52,2.63,282,1196,547,5.95,0.24,3.49,2.48,blackgram
1.39,6.48,8.46,0.24,0.19,2.41,134,1340,300,22.99,0.26,0.25,13.79,blackgram
4.05,47.29,6.86,0.3,0.89,25.21,433,1899,297,28.37,1.44,0.7,84.45,blackgram
