Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
3.38,11.98,8.5,0.71,0.76,34.53,244,3375,686,103.08,1.11,2.15,42.66,cotton
2.6,12.64,8.73,0.57,0.57,19.9,291,3398,812,55.59,0.94,2.15,26.58,cotton
1.38,11.42,8.95,0.47,0.4,8.12,312,3321,960,14.63,0.39,2.31,12.87,cotton
1.98,12.2,8.71,0.56,0.63,11.28,159,3121,532,42.05,0.99,1.88,17.34,cotton
2.19,10.2,8.75,0.47,0.64,16.71,174,3297,591,28.2,0.78,1.81,22.0,cotton
3.45,11.66,8.53,0.69,0.73,36.64,253,3381,710,90.32,1.29,2.02,45.9,cotton
3.07,14.26,8.07,0.22,0.6,31.32,252,2817,535,14.54,0.54,1.45,34.0,cotton
3.19,12.45,8.28,0.72,0.79,21.47,324,3001,556,77.3,1.07,2.08,34.96,cotton
1.38,15.71,8.18,0.27,0.4,6.84,277,3289,960,10.93,0.45,1.41,9.36,cotton
1.29,10.28,8.34,0.23,0.31,2.37,320,4813,1282,11.99,0.34,1.4,9.06,cotton
1.55,14.7,8.93,0.58,0.3,6.4,176,2656,607,53.05,0.47,2.1,11.09,cotton
1.96,13.7,8.65,0.91,0.68,33.02,145,2496,349,100.28,1.08,2.59,70.83,cotton
1.16,10.18,8.8,0.63,0.59,15.65,910,3208,1129,29.79,0.51,3.41,4.61,cotton
3.09,27.41,8.55,1.17,0.81,17.42,274,3213,1109,127.12,0.71,2.86,39.99,cotton
0.76,9.53,6.76,0.09,0.21,2.94,80,741,186,3.16,0.29,0.2,12.21,cotton
1.21,12.13,6.1,0.03,0.16,4.1,36,443,169,2.05,0.32,0.17,15.18,cotton
0.65,9.36,6.5,0.14,0.19,21.34,63,571,252,5.54,0.43,0.21,13.71,cotton
0.43,5.75,7.17,0.05,0.17,5.37,30,393,120,1.54,0.29,0.23,8.08,cotton
1.15,1.92,8.2,0.22,1.11,39.82,147,2317,499,9.24,4.29,1.59,6.12,cotton
0.74,6.89,8.03,0.12,0.13,11.93,51,830,211,4.25,0.25,0.21,9.32,cotton
0.45,3.13,8.4,0.1,0.21,14.72,94,1177,173,1.62,0.29,0.32,3.38,cotton
1.37,11.68,8.21,0.2,0.82,29.21,238,2283,503,7.29,0.87,0.88,9.18,cotton
1.01,10.86,6.9,0.11,0.31,8.87,86,518,181,3.42,0.56,0.35,12.28,cotton
0.62,3.25,8.3,0.28,0.77,42.05,251,2186,553,9.92,0.59,0.87,4.86,cotton
1.6,17.54,8.54,1.08,0.45,17.76,134,2700,366,61.97,0.59,1.76,14.68,cotton
2.3,21.24,9.78,1.05,0.5,28.81,112,2260,462,53.24,0.85,2.92,48.24,cotton
1.59,17.36,8.32,0.4,0.57,43.02,400,3416,809,20.76,0.55,1.86,16.34,cotton
1.11,42.04,8.0,0.21,0.84,12.44,344,1557,301,13.7,1.05,1.88,5.73,cotton
1.55,17.86,8.32,0.28,0.79,47.58,226,2717,525,13.81,0.7,2.06,11.54,cotton
1.69,24.26,8.3,0.22,0.62,14.04,146,2874,495,27.55,0.58,1.01,14.74,cotton
1.72,14.83,8.68,0.46,0.6,21.85,161,2703,527,42.47,0.58,1.61,21.54,cotton
1.59,19.42,8.69,0.19,0.91,19.29,451,2802,763,10.05,0.46,2.04,12.24,cotton
2.04,20.71,9.2,0.58,0.63,28.51,187,2282,710,60.58,0.47,3.32,35.51,cotton
1.82,15.78,8.87,0.76,0.78,39.49,200,2402,726,53.57,0.49,3.08,24.29,cotton
1.98,14.98,8.38,0.31,0.82,22.53,144,3048,836,16.25,0.77,1.73,25.16,cotton
1.58,13.95,8.57,0.16,0.47,6.58,204,4449,564,10.8,0.32,1.29,8.94,cotton
1.5,7.28,8.61,0.24,0.65,34.62,333,2632,1091,13.47,0.61,2.06,14.57,cotton
1.56,14.87,8.11,1.21,0.7,23.17,268,3060,1153,50.56,0.81,1.59,9.95,cotton
2.39,26.5,8.71,0.73,0.39,12.31,154,2360,575,41.37,0.7,2.31,30.59,cotton
3.23,16.91,8.45,0.81,0.55,19.15,175,2428,650,61.59,1.06,3.17,34.59,cotton
1.92,27.71,9.02,1.36,0.6,54.2,1317,1672,146,56.68,2.12,2.87,3.34,cotton
1.83,25.72,8.5,0.52,0.65,13.28,247,2195,393,24.79,0.81,2.26,7.94,cotton
3.74,17.18,8.52,0.79,0.52,18.84,207,3413,950,54.45,1.07,3.32,29.38,cotton
3.17,26.07,8.65,0.62,0.4,8.66,166,1853,783,24.29,0.52,2.67,25.82,cotton
1.35,16.82,8.63,0.45,0.15,14.17,149,2085,194,17.56,0.7,0.83,4.31,cotton
4.52,14.51,8.42,0.61,0.5,13.82,199,2154,824,26.4,1.61,3.51,27.72,cotton
3.47,19.92,8.35,2.94,0.72,55.92,192,1441,394,278.59,1.61,4.3,53.36,cotton
3.11,15.73,8.45,0.92,0.57,41.5,196,1843,716,60.89,3.12,4.36,60.14,cotton
1.94,33.89,7.8,0.36,0.37,12.15,183,1571,302,13.21,0.6,0.86,8.16,cotton
2.12,16.43,8.65,0.92,0.54,17.14,146,2143,1014,48.49,0.59,4.93,21.87,cotton
1.49,14.58,8.68,0.41,0.27,4.65,188,2145,621,15.3,0.32,1.55,10.06,cotton
2.28,24.21,8.46,0.4,0.36,9.63,222,2369,656,17.17,1.43,2.13,23.62,cotton
2.6,21.49,8.06,0.7,0.63,6.42,260,1836,521,28.59,0.89,2.64,11.05,cotton
1.53,17.8,8.25,0.61,0.55,9.69,187,2361,597,30.33,0.8,2.19,4.39,cotton
2.46,28.36,8.3,0.43,0.35,9.59,235,2050,602,17.54,0.63,1.6,23.36,cotton
1.89,16.44,8.5,0.98,0.36,10.66,177,2039,831,52.25,0.45,4.02,14.73,cotton
1.13,11.68,8.55,0.35,0.18,17.15,141,2238,148,14.88,0.59,0.45,1.98,cotton
2.0,21.57,8.85,0.77,0.42,14.73,307,1882,368,34.27,0.53,2.65,17.32,cotton
1.99,17.69,8.3,0.45,0.23,5.29,128,1868,638,26.87,0.4,2.39,13.79,cotton
1.48,30.54,8.55,0.48,0.48,13.46,153,2186,617,16.55,0.87,2.19,6.47,cotton
2.52,21.61,8.88,0.82,0.59,12.13,240,3757,984,86.37,0.77,3.47,26.9,cotton
1.38,21.28,9.68,1.12,0.42,8.32,177,2517,308,43.7,0.61,3.29,8.51,cotton
2.25,12.02,8.45,1.44,0.44,11.42,210,2934,1114,118.6,0.63,3.44,15.98,cotton
3.53,13.08,8.55,0.65,0.7,34.06,246,3293,711,117.43,1.34,2.09,46.31,cotton
