Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.25,12.23,7.9,1.66,0.34,7.41,69,1509,405,25.74,0.61,1.92,15.7,paddy
1.44,12.97,9.89,1.57,0.17,11.51,79,1239,81,87.34,0.3,1.93,12.29,paddy
2.14,11.58,8.41,0.62,0.5,19.88,210,2150,291,56.26,1.24,1.07,29.82,paddy
1.41,21.73,8.35,0.24,0.52,19.41,126,1977,410,7.41,1.0,1.3,9.98,paddy
1.64,19.82,8.31,0.33,0.55,22.69,139,2245,444,16.32,0.79,1.24,9.47,paddy
1.77,10.8,8.16,0.17,0.34,4.5,162,2060,502,10.11,0.29,0.89,14.92,paddy
1.47,10.07,8.4,0.34,0.32,6.43,139,2124,514,17.07,0.35,1.01,12.62,paddy
2.31,28.44,7.84,0.35,0.49,14.67,137,2260,351,17.74,0.65,1.03,19.11,paddy
1.42,10.14,8.41,0.41,0.44,11.05,116,3063,442,7.27,0.56,1.55,10.96,paddy
1.18,11.97,8.27,0.6,0.38,8.12,88,2827,331,8.56,0.41,1.43,8.41,paddy
2.19,14.88,8.8,0.64,0.38,12.53,106,2543,466,21.51,0.41,1.44,19.06,paddy
0.41,8.39,8.48,0.49,0.12,2.27,77,1843,166,18.22,0.2,0.43,3.24,paddy
1.23,13.91,8.16,0.29,0.38,25.5,169,825,928,10.69,0.76,1.98,3.75,paddy
1.21,13.22,8.45,0.74,0.36,32.19,121,635,740,42.53,0.56,2.42,6.75,paddy
1.83,14.74,8.32,0.36,0.4761699916874477,16.24,186,3300,578,26.81,0.57,1.68,8.83,paddy
5.37,15.66,7.73,0.88,0.67,56.99,568,5986,1986,120.46,1.09,3.21,33.56,paddy
0.83,8.68,9.09,0.31,0.16,4.35,106,4491,1279,9.4,0.2,1.08,1.72,paddy
1.51,13.92,8.0,0.15,0.32,10.99,158,3182,304,7.06,0.48,0.88,4.6,paddy
1.79,11.01,8.3,0.16,0.3,8.35,122,3894,598,5.75,0.35,1.18,8.89,paddy
1.44,9.81,8.33,0.26,0.34,7.85,239,4599,990,15.95,0.33,1.5,3.5,paddy
1.91,7.19,8.58,0.46,0.33,1.28,113,7416,1336,48.87,0.38,1.39,11.88,paddy
1.57,6.82,8.27,0.37,0.38,11.93,203,5854,900,37.0,1.17,0.93,15.41,paddy
1.46,7.52,8.5,0.46,0.21,8.66,146,7247,1436,47.23,0.91,1.4,15.86,paddy
0.52,3.26,8.95,0.18,0.27,3.63,116,7458,976,6.06,0.25,1.15,1.56,paddy
0.98,11.57,8.4,0.13,0.55,5.98,125,6651,339,4.43,0.24,0.84,4.25,paddy
1.49,6.16,8.35,0.38,0.55,26.58,133,7408,746,32.41,1.1,0.96,41.37,paddy
1.12,6.12,9.01,0.34,0.34,3.54,200,6719,817,6.97,0.34,1.91,10.34,paddy
0.89,5.21,9.07,0.28,0.3,3.96,168,6033,550,4.88,0.36,1.22,8.76,paddy
1.56,13.54,8.3,0.33,0.52,14.97,242,7639,832,21.03,0.77,1.08,10.05,paddy
2.91,13.43,8.02,2.44,0.61,25.41,169,7602,1346,479.01,1.4,3.32,19.41,paddy
1.64,1.6,7.75,0.65,1.04,3.18,126,1212,389,45.75,5.02,1.92,24.8,paddy
0.98,0.24,7.02,0.56,0.81,2.03,116,796,313,32.27,0.96,1.54,21.1,paddy
0.7,0.38,7.5,0.31,0.46,5.17,74,662,247,20.89,1.94,1.84,17.96,paddy
2.26,5.6,8.28,0.9,0.65,23.7,106,2425,422,13.88,3.92,1.08,70.68,paddy
1.46,2.78,8.11,0.96,0.5,15.47,92,2264,295,106.9,5.66,1.25,31.18,paddy
0.18,4.96,8.37,1.03,0.22,13.82,61,865,199,116.21,0.2,0.79,6.1,paddy
0.85,1.3,8.05,0.68,0.48,15.96,74,2090,245,86.55,1.93,1.16,19.42,paddy
1.09,0.44,7.86,1.15,0.52,12.9,94,1410,227,66.0,2.39,1.5,18.81,paddy
0.65,0.62,7.75,1.66,0.52,12.05,107,1751,289,332.91,1.47,1.53,18.25,paddy
0.47,0.3,8.62,0.47,0.49,14.92,61,2006,211,14.43,0.93,1.19,12.12,paddy
0.24,2.08,8.5,0.38,0.38,6.6,68,2178,198,11.76,1.7,1.08,9.78,paddy
0.52,0.34,8.18,0.81,0.21,5.42,37,1417,81,58.7,3.47,0.59,9.52,paddy
0.67,1.68,8.02,0.82,0.43,9.89,50,1996,135,46.18,6.59,0.83,8.96,paddy
0.24,2.1,6.62,0.31,0.25,10.12,44,237,48,32.35,1.54,0.46,48.52,paddy
0.88,2.38,5.62,0.55,0.28,11.06,75,368,88,47.83,3.58,0.61,125.28,paddy
1.4,1.74,7.38,0.72,0.71,13.38,102,1052,340,18.69,3.7,1.35,47.84,paddy
1.22,1.6,7.68,0.82,1.03,4.46,90,1198,351,53.21,10.58,2.0,19.58,paddy
1.6,1.92,8.12,1.11,0.38,12.5,91,2787,520,241.55,0.58,0.76,31.72,paddy
0.88,0.09,8.0,0.42,0.45,6.33,66,1551,195,108.13,2.28,0.94,19.84,paddy
0.76,0.09,7.35,0.55,0.4,3.63,60,746,218,75.68,4.64,1.04,20.42,paddy
0.8,8.7,7.95,1.51,0.57,30.16,110,2136,374,103.99,0.74,1.56,30.02,paddy
0.9,0.67,7.78,1.48,0.37,26.11,95,1014,292,74.52,2.46,1.11,38.0,paddy
0.72,0.47,7.9,1.51,0.43,16.81,67,2350,273,260.43,1.94,1.2,28.66,paddy
1.82,2.54,7.85,1.81,0.68,45.62,117,2620,482,153.92,2.04,2.09,62.6,paddy
0.66,3.32,8.1,0.78,0.96,12.57,59,2102,198,30.82,0.62,0.9,15.6,paddy
1.12,6.78,9.14,3.2,0.38,34.37,151,1091,284,297.77,1.68,2.06,50.68,paddy
2.72,7.7,8.4,0.77,0.5,4.25,89,2763,533,126.93,1.8,1.72,44.02,paddy
0.76,1.34,7.92,1.07,0.5,6.88,54,2341,228,234.97,5.74,1.2,23.3,paddy
4.78,16.56,7.86,1.26,0.85,8.4,191,5722,1464,454.04,0.9,2.5,33.64,paddy
6.44,16.0,7.8,2.4,1.02,13.35,289,6273,1880,837.21,2.44,3.3,61.24,paddy
3.52,6.74,7.62,0.55,0.79,5.11,112,2694,623,82.72,0.54,2.11,49.54,paddy
4.22,9.32,7.8,0.85,0.84,11.29,191,3190,1064,105.14,3.6,2.59,33.8,paddy
1.36,2.22,7.53,0.18,0.55,18.09,49,1904,283,12.39,2.22,0.99,17.62,paddy
2.04,5.94,7.68,1.43,0.42,11.93,110,3475,472,613.38,1.02,0.99,26.94,paddy
2.02,16.14,6.57,1.22,1.08,144.48,756,3569,776,50.77,2.1,2.12,12.36,paddy
4.28,8.84,7.88,1.31,1.0,8.46,124,4158,853,275.65,0.48,1.85,36.34,paddy
4.52,13.5,7.45,2.2,1.15,20.43,189,4416,751,679.5,1.24,2.68,52.66,paddy
1.32,31.44,7.55,0.15,0.41,22.11,150,1559,280,11.83,0.86,0.68,12.84,paddy
4.54,20.1,7.86,0.96,0.88,7.02,276,5924,1895,102.35,0.66,3.18,28.0,paddy
2.06,4.16,8.57,0.33,0.32,3.62,174,5149,1592,101.52,0.4,3.18,11.6,paddy
3.96,8.34,7.61,1.22,0.86,16.16,129,3066,653,251.03,0.86,1.83,73.4,paddy
3.08,1.66,8.4,1.12,0.41,12.48,131,3001,446,119.99,1.08,1.54,47.2,paddy
4.8,8.16,8.48,0.68,0.75,27.85,206,2880,958,149.47,8.22,2.49,81.9,paddy
4.6,12.1,6.28,0.53,0.85,36.63,122,2294,659,135.29,1.8,2.0,183.32,paddy
2.62,5.92,8.88,0.68,0.61,34.88,167,2388,410,27.66,1.52,2.47,73.8,paddy
2.04,4.48,7.78,0.38,0.45,26.74,106,1192,462,24.89,1.98,1.41,58.0,paddy
3.14,3.56,7.95,1.16,0.91,41.78,196,1970,578,153.38,3.5,2.79,91.0,paddy
