Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
2.3,11.39,8.5,0.55,0.24,2.0,97,4944,1022,21.25,0.38,0.47,9.05,jonna
3.06,14.76,8.26,0.87,0.76,20.5,704,6394,1664,69.78,0.78,2.27,2.7,jonna
10.52,24.06,7.6,1.05,0.63,44.3,451,6965,1831,72.85,1.98,2.76,38.61,jonna
8.19,18.65,7.8,1.23,0.55,13.3,255,5516,1563,100.58,1.3,1.8,23.26,jonna
5.04,11.71,8.06,0.64,0.37,3.9,111,6334,1752,32.0,0.41,1.48,15.72,jonna
1.41,10.42,8.18,0.58,0.6,20.9,209,3402,803,24.12,1.01,1.12,3.72,jonna
1.51,10.81,8.24,0.46,0.57,33.3,404,3142,670,14.03,1.12,1.06,5.13,jonna
3.9,27.31,8.26,0.58,0.68,31.2,427,5363,1971,32.25,1.35,1.91,7.26,jonna
3.07,20.02,8.26,0.28,0.57,16.8,166,4855,1042,14.11,0.76,0.85,9.66,jonna
2.27,10.83,8.36,0.43,0.58,8.2,223,4614,1247,24.3,0.89,1.14,5.76,jonna
1.48,8.38,8.3,0.25,0.32,10.0,139,3162,652,12.12,1.23,0.81,4.57,jonna
2.01,15.72,8.15,0.51,0.48,29.9,244,3834,952,25.27,1.73,1.11,4.81,jonna
4.08,16.74,7.94,0.66,0.8,37.8,421,6522,778,20.92,2.7,1.6,4.72,jonna
3.39,7.05,8.25,0.28,0.21,3.3,155,6224,2014,16.04,0.66,0.75,8.18,jonna
2.28,6.28,7.95,0.44,0.54,36.3,286,4545,808,25.75,1.36,0.87,5.75,jonna
3.18,4.72,8.37,0.32,0.54,36.9,194,5890,1062,24.35,2.6,1.15,5.98,jonna
5.79,5.85,8.1,0.57,0.58,21.8,135,5927,1578,67.37,1.01,1.13,19.61,jonna
3.19,19.22,8.11,0.63,0.68,31.1,749,5624,1395,88.75,19.2,1.87,3.35,jonna
2.2,6.71,8.06,0.74,0.74,23.1,376,4259,1152,59.1,3.42,1.18,4.63,jonna
3.5,7.91,8.42,0.3,0.35,4.1,134,4985,1606,15.55,0.57,0.74,8.33,jonna
2.49,4.15,8.43,0.53,0.73,38.1,429,5127,1238,36.94,3.62,1.62,2.96,jonna
3.38,14.66,8.07,0.59,0.69,30.7,349,5343,1892,46.97,1.78,1.44,5.95,jonna
2.55,4.76,8.51,0.19,0.73,75.0,463,6168,1196,10.59,3.21,1.5,3.49,jonna
3.68,5.73,8.21,0.22,0.64,27.9,232,5849,1386,14.33,1.69,0.99,6.8,jonna
1.36,7.45,8.3,0.25,0.47,32.8,299,2661,583,14.97,1.85,0.81,3.67,jonna
5.17,21.98,7.35,0.42,0.94,78.5,704,5071,1429,14.32,4.11,1.63,8.28,jonna
6.4,6.01,7.92,1.76,0.68,18.2,140,5234,1376,341.77,0.92,1.58,22.55,jonna
1.55,5.64,8.23,0.86,0.56,7.0,223,7121,947,192.47,0.97,2.05,6.2,jonna
2.77,12.12,8.4,0.32,0.64,28.0,600,6075,1032,19.01,3.59,1.34,1.7,jonna
3.5,11.91,7.96,0.76,0.9,51.3,504,3871,1031,104.98,4.39,1.27,4.18,jonna
2.69,4.58,8.23,0.23,0.51,18.2,170,5365,1419,12.64,1.13,0.77,5.52,jonna
3.13,7.06,8.17,0.42,1.08,140.6,550,4492,1108,43.22,6.24,1.79,5.17,jonna
3.03,7.3,8.33,0.27,0.72,46.1,387,5380,1561,16.12,3.39,1.4,5.18,jonna
6.14,15.05,8.12,0.93,0.68,36.5,362,5760,1419,163.97,2.54,1.76,11.2,jonna
2.77,12.25,8.12,0.48,0.85,64.3,532,3893,1484,31.11,2.97,1.53,4.51,jonna
1.88,10.58,8.22,0.59,0.84,37.2,205,3378,783,53.41,1.92,1.8,4.29,jonna
2.62,17.49,8.04,1.95,0.83,31.1,1553,3654,1226,199.16,1.45,2.33,4.89,jonna
2.82,19.29,8.35,0.44,0.74,23.7,263,4101,1508,47.5,1.61,1.56,5.07,jonna
2.61,5.67,8.27,0.38,0.47,15.5,237,3801,1431,30.24,1.24,1.02,5.74,jonna
2.23,5.37,8.3,0.19,0.57,35.1,267,3411,751,13.32,1.89,1.08,4.18,jonna
3.62,28.81,8.2,0.73,0.79,64.8,476,3510,1074,54.43,3.52,2.33,6.98,jonna
2.67,10.01,7.86,1.07,0.65,41.3,452,3239,958,52.53,4.7,1.65,4.45,jonna
2.41,6.83,8.26,0.41,0.63,89.6,612,2419,591,35.86,5.45,1.29,4.85,jonna
3.27,18.22,8.15,0.94,0.68,25.5,469,4393,1369,46.4,0.82,1.67,6.62,jonna
4.33,15.3,6.9,0.37,0.4,81.4,263,3157,991,24.18,1.66,1.15,18.27,jonna
1.75,10.61,8.18,0.61,0.66,42.9,231,4101,1308,67.48,1.39,1.5,4.47,jonna
2.99,20.65,8.19,0.47,0.86,42.4,428,4692,1491,41.15,2.54,1.54,4.92,jonna
1.88,5.39,8.31,0.28,0.64,23.7,421,3504,1099,17.13,1.95,1.2,4.22,jonna
2.27,7.08,8.3,0.34,0.49,25.0,517,3401,1009,25.52,1.53,1.15,4.66,jonna
1.85,5.29,8.52,0.29,0.36,23.1,272,3610,918,19.91,0.77,1.08,4.49,jonna
2.72,6.98,8.1,0.59,0.43,37.2,328,4634,1009,58.62,1.22,1.11,7.03,jonna
7.4,11.43,8.14,1.34,0.55,51.7,197,4269,1574,168.91,1.06,2.76,40.47,jonna
2.68,12.13,8.34,0.27,0.67,22.5,298,5309,1322,11.35,1.95,1.1,5.37,jonna
1.98,9.25,8.22,0.29,0.56,27.0,301,3534,944,18.69,1.69,0.96,5.16,jonna
2.48,12.61,8.29,0.3,0.65,22.8,309,5355,1337,10.55,1.96,1.01,5.28,jonna
1.73,9.16,8.12,0.51,0.7,41.1,342,3633,992,28.25,1.37,1.19,4.86,jonna
1.88,5.82,8.21,0.4,0.25,10.9,202,3704,905,14.99,0.65,0.68,5.16,jonna
